

New start of logging. Datetime: 2022.10.01_112457 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
846;'10/01/2022 11:39:14;'053929011022;FIX;OK;68,0333633;43,14907;183,0;0,00;0,0
847;'10/01/2022 11:39:15;'053930011022;FIX;OK;68,0333633;43,14907;183,0;0,00;0,0
848;'10/01/2022 11:39:16;'053931011022;FIX;OK;68,0333633;43,14907;183,0;0,00;0,0
849;'10/01/2022 11:39:17;'053932011022;FIX;OK;68,0333633;43,14907;183,0;0,00;0,0
850;'10/01/2022 11:39:18;'053933011022;FIX;OK;68,0333633;43,14907;183,1;0,00;0,0
851;'10/01/2022 11:39:19;'053934011022;FIX;OK;68,0333633;43,14907;183,1;0,00;0,0
852;'10/01/2022 11:39:19;'053935011022;FIX;OK;68,0333633;43,14907;183,1;0,00;0,0
853;'10/01/2022 11:39:20;'053936011022;FIX;OK;68,0333633;43,14907;183,1;0,00;0,0
854;'10/01/2022 11:39:21;'053937011022;FIX;OK;68,0333633;43,14907;183,1;0,00;0,0
855;'10/01/2022 11:39:22;'053938011022;FIX;OK;68,0333633;43,14907;183,2;0,00;0,0
856;'10/01/2022 11:39:23;'053939011022;FIX;OK;68,0333633;43,14907;183,2;0,00;0,0
857;'10/01/2022 11:39:24;'053940011022;FIX;OK;68,0333633;43,14907;183,2;0,00;0,0
858;'10/01/2022 11:39:25;'053941011022;FIX;OK;68,0333633;43,14907;183,2;0,00;0,0
859;'10/01/2022 11:39:26;'053942011022;FIX;OK;68,0333633;43,14907;183,3;0,00;0,0
860;'10/01/2022 11:39:27;'053943011022;FIX;OK;68,0333633;43,14907;183,3;0,00;0,0
861;'10/01/2022 11:39:28;'053944011022;FIX;OK;68,0333633;43,14907;183,3;0,00;0,0
862;'10/01/2022 11:39:29;'053945011022;FIX;OK;68,0333633;43,14907;183,4;0,00;0,0
863;'10/01/2022 11:39:30;'053946011022;FIX;OK;68,0333633;43,14907;183,4;0,00;0,0
864;'10/01/2022 11:39:31;'053947011022;FIX;OK;68,0333633;43,14907;183,4;0,00;0,0
865;'10/01/2022 11:39:32;'053948011022;FIX;OK;68,0333633;43,14907;183,4;0,00;0,0
866;'10/01/2022 11:39:33;'053949011022;FIX;OK;68,0333633;43,14907;183,5;0,00;0,0
867;'10/01/2022 11:39:34;'053950011022;FIX;OK;68,0333633;43,14907;183,5;0,00;0,0
868;'10/01/2022 11:39:34;'053951011022;FIX;OK;68,0333633;43,14907;183,5;0,00;0,0
869;'10/01/2022 11:39:35;'053952011022;FIX;OK;68,0333633;43,14907;183,6;0,00;0,0
870;'10/01/2022 11:39:36;'053953011022;FIX;OK;68,0333633;43,14907;183,6;0,00;0,0
871;'10/01/2022 11:39:37;'053954011022;FIX;OK;68,0333633;43,14907;183,6;0,00;0,0
872;'10/01/2022 11:39:38;'053955011022;FIX;OK;68,0333633;43,14907;183,7;0,00;0,0
873;'10/01/2022 11:39:39;'053956011022;FIX;OK;68,0333633;43,14907;183,7;0,00;0,0
874;'10/01/2022 11:39:40;'053957011022;FIX;OK;68,0333633;43,14907;183,7;0,00;0,0
875;'10/01/2022 11:39:41;'053958011022;FIX;OK;68,0333633;43,14907;183,8;0,00;0,0
876;'10/01/2022 11:39:42;'053959011022;FIX;OK;68,0333633;43,14907;183,8;0,00;0,0
877;'10/01/2022 11:39:43;'054000011022;FIX;OK;68,0333633;43,14907;183,9;0,00;0,0
878;'10/01/2022 11:39:44;'054001011022;FIX;OK;68,0333633;43,14907;183,9;0,00;0,0
879;'10/01/2022 11:39:45;'054002011022;FIX;OK;68,0333633;43,14907;184,0;0,00;0,0
880;'10/01/2022 11:39:46;'054003011022;FIX;OK;68,0333633;43,14907;184,0;0,00;0,0
881;'10/01/2022 11:39:47;'054004011022;FIX;OK;68,0333633;43,14907;184,0;0,00;0,0
882;'10/01/2022 11:39:48;'054005011022;FIX;OK;68,0333633;43,14907;184,1;0,00;0,0
883;'10/01/2022 11:39:49;'054006011022;FIX;OK;68,0333633;43,14907;184,1;0,00;0,0
884;'10/01/2022 11:39:50;'054007011022;FIX;OK;68,0333633;43,14907;184,2;0,00;0,0
885;'10/01/2022 11:39:50;'054008011022;FIX;OK;68,0333633;43,14907;184,2;0,00;0,0
886;'10/01/2022 11:39:51;'054009011022;FIX;OK;68,0333633;43,14907;184,3;0,00;0,0
887;'10/01/2022 11:39:52;'054010011022;FIX;OK;68,0333633;43,14907;184,3;0,00;0,0
888;'10/01/2022 11:39:53;'054011011022;FIX;OK;68,0333633;43,14907;184,4;0,00;0,0
889;'10/01/2022 11:39:54;'054012011022;FIX;OK;68,0333633;43,14907;184,4;0,00;0,0
890;'10/01/2022 11:39:55;'054013011022;FIX;OK;68,0333633;43,14907;184,5;0,00;0,0
891;'10/01/2022 11:39:56;'054014011022;FIX;OK;68,0333633;43,14907;184,5;0,00;0,0
892;'10/01/2022 11:39:57;'054015011022;FIX;OK;68,0333633;43,14907;184,6;0,00;0,0
893;'10/01/2022 11:39:58;'054016011022;FIX;OK;68,0333633;43,14907;184,6;0,00;0,0
894;'10/01/2022 11:39:59;'054017011022;FIX;OK;68,0333633;43,14907;184,7;0,00;0,0
895;'10/01/2022 11:40:00;'054018011022;FIX;OK;68,0333633;43,14907;184,7;0,00;0,0
896;'10/01/2022 11:40:01;'054019011022;FIX;OK;68,0333633;43,14907;184,8;0,00;0,0
897;'10/01/2022 11:40:02;'054020011022;FIX;OK;68,0333633;43,14907;184,8;0,00;0,0
898;'10/01/2022 11:40:03;'054021011022;FIX;OK;68,0333633;43,14907;184,9;0,00;0,0
899;'10/01/2022 11:40:04;'054022011022;FIX;OK;68,0333633;43,14907;184,9;0,00;0,0
900;'10/01/2022 11:40:05;'054023011022;FIX;OK;68,0333633;43,14907;185,0;0,00;0,0
901;'10/01/2022 11:40:24;'054024011022;FIX;OK;68,0333633;43,14907;185,0;0,00;0,0
902;'10/01/2022 11:40:25;'054025011022;FIX;OK;68,0333633;43,14907;185,1;0,00;0,0
903;'10/01/2022 11:40:26;'054026011022;FIX;OK;68,0333633;43,14907;185,1;0,00;0,0
904;'10/01/2022 11:40:27;'054027011022;FIX;OK;68,0333633;43,14907;185,2;0,00;0,0
905;'10/01/2022 11:40:28;'054028011022;FIX;OK;68,0333633;43,14907;185,2;0,00;0,0
906;'10/01/2022 11:40:29;'054029011022;FIX;OK;68,0333633;43,14907;185,2;0,00;0,0
907;'10/01/2022 11:40:30;'054030011022;FIX;OK;68,0333633;43,14907;185,3;0,00;0,0
908;'10/01/2022 11:40:30;'054031011022;FIX;OK;68,0333633;43,14907;185,3;0,00;0,0
909;'10/01/2022 11:40:31;'054032011022;FIX;OK;68,0333633;43,14907;185,4;0,00;0,0
910;'10/01/2022 11:40:32;'054033011022;FIX;OK;68,0333633;43,14907;185,4;0,00;0,0
911;'10/01/2022 11:40:33;'054034011022;FIX;OK;68,0333633;43,14907;185,5;0,00;0,0
912;'10/01/2022 11:40:34;'054035011022;FIX;OK;68,0333633;43,14907;185,5;0,00;0,0
913;'10/01/2022 11:40:35;'054036011022;FIX;OK;68,0333633;43,14907;185,6;0,00;0,0
914;'10/01/2022 11:40:36;'054037011022;FIX;OK;68,0333633;43,14907;185,6;0,00;0,0
915;'10/01/2022 11:40:37;'054038011022;FIX;OK;68,0333633;43,14907;185,6;0,00;0,0
916;'10/01/2022 11:40:38;'054039011022;FIX;OK;68,0333633;43,14907;185,7;0,00;0,0
917;'10/01/2022 11:40:39;'054040011022;FIX;OK;68,0333633;43,14907;185,7;0,00;0,0
918;'10/01/2022 11:40:40;'054041011022;FIX;OK;68,0333633;43,14907;185,8;0,00;0,0
919;'10/01/2022 11:40:41;'054042011022;FIX;OK;68,0333633;43,14907;185,8;0,00;0,0
920;'10/01/2022 11:40:42;'054043011022;FIX;OK;68,0333633;43,14907;185,8;0,00;0,0
921;'10/01/2022 11:40:43;'054044011022;FIX;OK;68,0333633;43,14907;185,9;0,00;0,0
922;'10/01/2022 11:40:44;'054045011022;FIX;OK;68,0333633;43,14907;185,9;0,00;0,0
923;'10/01/2022 11:40:45;'054046011022;FIX;OK;68,0333633;43,14907;185,9;0,00;0,0
924;'10/01/2022 11:40:45;'054047011022;FIX;OK;68,0333633;43,14907;185,9;0,00;0,0
925;'10/01/2022 11:40:46;'054048011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
926;'10/01/2022 11:40:47;'054049011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
927;'10/01/2022 11:40:48;'054050011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
928;'10/01/2022 11:40:49;'054051011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
929;'10/01/2022 11:40:50;'054052011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
930;'10/01/2022 11:40:51;'054053011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
931;'10/01/2022 11:40:52;'054054011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
932;'10/01/2022 11:40:53;'054055011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
933;'10/01/2022 11:40:54;'054056011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
934;'10/01/2022 11:40:55;'054057011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
935;'10/01/2022 11:40:56;'054058011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
936;'10/01/2022 11:40:57;'054059011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
937;'10/01/2022 11:40:58;'054100011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
938;'10/01/2022 11:40:59;'054101011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
939;'10/01/2022 11:41:00;'054102011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
940;'10/01/2022 11:41:01;'054103011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
941;'10/01/2022 11:41:01;'054104011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
942;'10/01/2022 11:41:02;'054105011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
943;'10/01/2022 11:41:03;'054106011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
944;'10/01/2022 11:41:04;'054107011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
945;'10/01/2022 11:41:05;'054108011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
946;'10/01/2022 11:41:06;'054109011022;FIX;OK;68,0333633;43,14907;186,1;0,00;0,0
947;'10/01/2022 11:41:07;'054110011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
948;'10/01/2022 11:41:08;'054111011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
949;'10/01/2022 11:41:09;'054112011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
950;'10/01/2022 11:41:10;'054113011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
951;'10/01/2022 11:41:11;'054114011022;FIX;OK;68,0333633;43,14907;186,0;0,00;0,0
952;'10/01/2022 11:41:12;'054115011022;FIX;OK;68,0333633;43,14907;185,9;0,00;0,0
953;'10/01/2022 11:41:13;'054116011022;FIX;OK;68,0333633;43,14907;185,9;0,00;0,0
954;'10/01/2022 11:41:14;'054117011022;FIX;OK;68,0333633;43,14907;185,9;0,00;0,0
955;'10/01/2022 11:41:15;'054118011022;FIX;OK;68,0333633;43,14907;185,9;0,00;0,0
956;'10/01/2022 11:41:16;'054119011022;FIX;OK;68,0333633;43,14907;185,8;0,00;0,0
957;'10/01/2022 11:41:16;'054120011022;FIX;OK;68,0333633;43,14907;185,8;0,00;0,0
958;'10/01/2022 11:41:17;'054121011022;FIX;OK;68,0333633;43,14907;185,8;0,00;0,0
959;'10/01/2022 11:41:18;'054122011022;FIX;OK;68,0333633;43,14907;185,7;0,00;0,0
960;'10/01/2022 11:41:19;'054123011022;FIX;OK;68,0333633;43,14907;185,7;0,00;0,0
961;'10/01/2022 11:41:20;'054124011022;FIX;OK;68,0333633;43,14907;185,7;0,00;0,0
962;'10/01/2022 11:41:21;'054125011022;FIX;OK;68,0333633;43,14907;185,6;0,00;0,0
963;'10/01/2022 11:41:22;'054126011022;FIX;OK;68,0333633;43,14907;185,6;0,00;0,0
964;'10/01/2022 11:41:23;'054127011022;FIX;OK;68,0333633;43,14907;185,5;0,00;0,0
965;'10/01/2022 11:41:24;'054128011022;FIX;OK;68,0333633;43,14907;185,5;0,00;0,0
966;'10/01/2022 11:41:25;'054129011022;FIX;OK;68,0333633;43,14907;185,5;0,00;0,0
967;'10/01/2022 11:41:26;'054130011022;FIX;OK;68,0333633;43,14907;185,4;0,00;0,0
968;'10/01/2022 11:41:27;'054131011022;FIX;OK;68,0333633;43,14907;185,4;0,00;0,0
969;'10/01/2022 11:41:28;'054132011022;FIX;OK;68,0333633;43,14907;185,4;0,00;0,0
970;'10/01/2022 11:41:29;'054133011022;FIX;OK;68,0333633;43,14907;185,3;0,00;0,0
971;'10/01/2022 11:41:30;'054134011022;FIX;OK;68,0333633;43,14907;185,3;0,00;0,0
972;'10/01/2022 11:41:31;'054135011022;FIX;OK;68,0333633;43,14907;185,3;0,00;0,0
973;'10/01/2022 11:41:32;'054136011022;FIX;OK;68,0333633;43,14907;185,2;0,00;0,0
974;'10/01/2022 11:41:32;'054137011022;FIX;OK;68,0333633;43,14907;185,2;0,00;0,0
975;'10/01/2022 11:41:33;'054138011022;FIX;OK;68,0333633;43,14907;185,2;0,00;0,0
976;'10/01/2022 11:41:34;'054139011022;FIX;OK;68,0333633;43,14907;185,1;0,00;0,0
977;'10/01/2022 11:41:35;'054140011022;FIX;OK;68,0333633;43,14907;185,1;0,00;0,0
978;'10/01/2022 11:41:36;'054141011022;FIX;OK;68,0333633;43,14907;185,0;0,00;0,0
979;'10/01/2022 11:41:37;'054142011022;FIX;OK;68,0333633;43,14907;185,0;0,00;0,0
980;'10/01/2022 11:41:38;'054143011022;FIX;OK;68,0333633;43,14907;184,9;0,00;0,0
981;'10/01/2022 11:41:39;'054144011022;FIX;OK;68,0333633;43,14907;184,9;0,00;0,0
982;'10/01/2022 11:41:40;'054145011022;FIX;OK;68,0333633;43,14907;184,8;0,00;0,0
983;'10/01/2022 11:41:41;'054146011022;FIX;OK;68,0333633;43,14907;184,8;0,00;0,0
984;'10/01/2022 11:41:42;'054147011022;FIX;OK;68,0333633;43,14907;184,8;0,00;0,0
985;'10/01/2022 11:41:43;'054148011022;FIX;OK;68,0333633;43,14907;184,7;0,00;0,0
986;'10/01/2022 11:41:44;'054149011022;FIX;OK;68,0333633;43,14907;184,7;0,00;0,0
987;'10/01/2022 11:41:45;'054150011022;FIX;OK;68,0333633;43,14907;184,6;0,00;0,0
988;'10/01/2022 11:41:46;'054151011022;FIX;OK;68,0333633;43,14907;184,6;0,00;0,0
989;'10/01/2022 11:41:47;'054152011022;FIX;OK;68,0333633;43,14907;184,5;0,00;0,0
990;'10/01/2022 11:41:48;'054153011022;FIX;OK;68,0333633;43,14907;184,5;0,00;0,0
991;'10/01/2022 11:41:48;'054154011022;FIX;OK;68,0333633;43,14907;184,4;0,00;0,0
992;'10/01/2022 11:41:49;'054155011022;FIX;OK;68,0333633;43,14907;184,4;0,00;0,0
993;'10/01/2022 11:41:50;'054156011022;FIX;OK;68,0333633;43,14907;184,3;0,00;0,0
994;'10/01/2022 11:41:51;'054157011022;FIX;OK;68,0333633;43,14907;184,3;0,00;0,0
995;'10/01/2022 11:41:52;'054158011022;FIX;OK;68,0333633;43,14907;184,2;0,00;0,0
996;'10/01/2022 11:41:53;'054159011022;FIX;OK;68,0333633;43,14907;184,2;0,00;0,0
997;'10/01/2022 11:41:54;'054200011022;FIX;OK;68,0333633;43,14907;184,2;0,00;0,0
998;'10/01/2022 11:41:55;'054201011022;FIX;OK;68,0333633;43,14907;184,1;0,00;0,0
999;'10/01/2022 11:41:56;'054202011022;FIX;OK;68,0333633;43,14907;184,1;0,00;0,0
1000;'10/01/2022 11:41:57;'054203011022;FIX;OK;68,0333633;43,14907;184,0;0,00;0,0
1001;'10/01/2022 11:41:58;'054204011022;FIX;OK;68,0333633;43,14907;184,0;0,00;0,0
1002;'10/01/2022 11:41:59;'054205011022;FIX;OK;68,0333633;43,14907;183,9;0,00;0,0
1003;'10/01/2022 11:42:00;'054206011022;FIX;OK;68,0333633;43,14907;183,9;0,00;0,0
1004;'10/01/2022 11:42:01;'054207011022;FIX;OK;68,0333633;43,14907;183,8;0,00;0,0
1005;'10/01/2022 11:42:02;'054208011022;FIX;OK;68,0333633;43,14907;183,7;0,00;0,0
1006;'10/01/2022 11:42:03;'054209011022;FIX;OK;68,0333633;43,14907;183,7;0,00;0,0
1007;'10/01/2022 11:42:04;'054210011022;FIX;OK;68,0333633;43,14907;183,6;0,00;0,0
1008;'10/01/2022 11:42:04;'054211011022;FIX;OK;68,0333633;43,14907;183,6;0,00;0,0
1009;'10/01/2022 11:42:05;'054212011022;FIX;OK;68,0333633;43,14907;183,5;0,00;0,0
1010;'10/01/2022 11:42:06;'054213011022;FIX;OK;68,0333633;43,14907;183,4;0,00;0,0
1011;'10/01/2022 11:42:07;'054214011022;FIX;OK;68,0333633;43,14907;183,3;0,00;0,0
1012;'10/01/2022 11:42:08;'054215011022;FIX;OK;68,0333633;43,14907;183,3;0,00;0,0
1013;'10/01/2022 11:42:09;'054216011022;FIX;OK;68,0333633;43,14907;183,2;0,00;0,0
1014;'10/01/2022 11:42:10;'054217011022;FIX;OK;68,0333633;43,14907;183,1;0,00;0,0
1015;'10/01/2022 11:42:11;'054218011022;FIX;OK;68,0333633;43,14907;183,0;0,00;0,0
1016;'10/01/2022 11:42:12;'054219011022;FIX;OK;68,0333633;43,14907;182,9;0,00;0,0
1017;'10/01/2022 11:42:13;'054220011022;FIX;OK;68,0333633;43,14907;182,8;0,00;0,0
1018;'10/01/2022 11:42:14;'054221011022;FIX;OK;68,0333633;43,14907;182,7;0,00;0,0
1019;'10/01/2022 11:42:15;'054222011022;FIX;OK;68,0333633;43,14907;182,6;0,00;0,0
1020;'10/01/2022 11:42:16;'054223011022;FIX;OK;68,0333633;43,14907;182,5;0,00;0,0
1021;'10/01/2022 11:42:17;'054224011022;FIX;OK;68,0333633;43,14907;182,4;0,00;0,0
1022;'10/01/2022 11:42:18;'054225011022;FIX;OK;68,0333633;43,14907;182,3;0,00;0,0
1023;'10/01/2022 11:42:19;'054226011022;FIX;OK;68,0333633;43,14907;182,2;0,00;0,0
1024;'10/01/2022 11:42:20;'054227011022;FIX;OK;68,0333633;43,14907;182,1;0,00;0,0
1025;'10/01/2022 11:42:20;'054228011022;FIX;OK;68,0333633;43,14907;182,0;0,00;0,0
1026;'10/01/2022 11:42:21;'054229011022;FIX;OK;68,0333633;43,14907;181,9;0,00;0,0
1027;'10/01/2022 11:42:22;'054230011022;FIX;OK;68,0333633;43,14907;181,8;0,00;0,0
1028;'10/01/2022 11:42:23;'054231011022;FIX;OK;68,0333633;43,14907;181,6;0,00;0,0
1029;'10/01/2022 11:42:24;'054232011022;FIX;OK;68,0333633;43,14907;181,5;0,00;0,0
1030;'10/01/2022 11:42:25;'054233011022;FIX;OK;68,0333633;43,14907;181,4;0,00;0,0
1031;'10/01/2022 11:42:26;'054234011022;FIX;OK;68,0333633;43,14907;181,3;0,00;0,0
1032;'10/01/2022 11:42:27;'054235011022;FIX;OK;68,0333633;43,14907;181,1;0,00;0,0
1033;'10/01/2022 11:42:28;'054236011022;FIX;OK;68,0333633;43,14907;181,0;0,00;0,0
1034;'10/01/2022 11:42:29;'054237011022;FIX;OK;68,0333633;43,14907;180,9;0,00;0,0
1035;'10/01/2022 11:42:30;'054238011022;FIX;OK;68,0333633;43,14907;180,7;0,00;0,0
1036;'10/01/2022 11:42:31;'054239011022;FIX;OK;68,0333633;43,14907;180,6;0,00;0,0
1037;'10/01/2022 11:42:32;'054240011022;FIX;OK;68,0333633;43,14907;180,4;0,00;0,0
1038;'10/01/2022 11:42:33;'054241011022;FIX;OK;68,0333633;43,14907;180,3;0,00;0,0
1039;'10/01/2022 11:42:34;'054242011022;FIX;OK;68,0333633;43,14907;180,2;0,00;0,0
1040;'10/01/2022 11:42:35;'054243011022;FIX;OK;68,0333633;43,14907;180,0;0,00;0,0
1041;'10/01/2022 11:42:36;'054244011022;FIX;OK;68,0333633;43,14907;179,8;0,00;0,0
1042;'10/01/2022 11:42:36;'054245011022;FIX;OK;68,0333633;43,14907;179,7;0,00;0,0
1043;'10/01/2022 11:42:37;'054246011022;FIX;OK;68,0333633;43,14907;179,5;0,00;0,0
1044;'10/01/2022 11:42:38;'054247011022;FIX;OK;68,0333633;43,14907;179,4;0,00;0,0
1045;'10/01/2022 11:42:39;'054248011022;FIX;OK;68,0333633;43,14907;179,2;0,00;0,0
1046;'10/01/2022 11:42:40;'054249011022;FIX;OK;68,0333633;43,14907;179,1;0,00;0,0
1047;'10/01/2022 11:42:41;'054250011022;FIX;OK;68,0333633;43,14907;179,0;0,00;0,0
1048;'10/01/2022 11:42:42;'054251011022;FIX;OK;68,0333633;43,14907;178,8;0,00;0,0
1049;'10/01/2022 11:42:43;'054252011022;FIX;OK;68,0333633;43,14907;178,7;0,00;0,0
1050;'10/01/2022 11:42:44;'054253011022;FIX;OK;68,0333633;43,14907;178,5;0,00;0,0
1051;'10/01/2022 11:42:45;'054254011022;FIX;OK;68,0333633;43,14907;178,4;0,00;0,0
1052;'10/01/2022 11:42:46;'054255011022;FIX;OK;68,0333633;43,14907;178,2;0,00;0,0
1053;'10/01/2022 11:42:47;'054256011022;FIX;OK;68,0333633;43,14907;178,0;0,00;0,0
1054;'10/01/2022 11:42:48;'054257011022;FIX;OK;68,0333633;43,14907;177,9;0,00;0,0
1055;'10/01/2022 11:42:49;'054258011022;FIX;OK;68,0333633;43,14907;177,7;0,00;0,0
1056;'10/01/2022 11:42:50;'054259011022;FIX;OK;68,0333633;43,14907;177,6;0,00;0,0
1057;'10/01/2022 11:42:51;'054300011022;FIX;OK;68,0333633;43,14907;177,4;0,00;0,0
1058;'10/01/2022 11:42:51;'054301011022;FIX;OK;68,0333633;43,14907;177,3;0,00;0,0
1059;'10/01/2022 11:42:52;'054302011022;FIX;OK;68,0333633;43,14907;177,1;0,00;0,0
1060;'10/01/2022 11:42:53;'054303011022;FIX;OK;68,0333633;43,14907;176,9;0,00;0,0
1061;'10/01/2022 11:42:54;'054304011022;FIX;OK;68,0333633;43,14907;176,8;0,00;0,0
1062;'10/01/2022 11:42:55;'054305011022;FIX;OK;68,0333633;43,14907;176,6;0,00;0,0
1063;'10/01/2022 11:42:56;'054306011022;FIX;OK;68,0333633;43,14907;176,4;0,00;0,0
1064;'10/01/2022 11:42:57;'054307011022;FIX;OK;68,0333633;43,14907;176,2;0,00;0,0
1065;'10/01/2022 11:42:58;'054308011022;FIX;OK;68,0333633;43,14907;176,1;0,00;0,0
1066;'10/01/2022 11:42:59;'054309011022;FIX;OK;68,0333633;43,14907;175,9;0,00;0,0
1067;'10/01/2022 11:43:00;'054310011022;FIX;OK;68,0333633;43,14907;175,7;0,00;0,0
1068;'10/01/2022 11:43:01;'054311011022;FIX;OK;68,0333633;43,14907;175,5;0,00;0,0
1069;'10/01/2022 11:43:02;'054312011022;FIX;OK;68,0333633;43,14907;175,3;0,00;0,0
1070;'10/01/2022 11:43:03;'054313011022;FIX;OK;68,0333633;43,14907;175,2;0,00;0,0
1071;'10/01/2022 11:43:04;'054314011022;FIX;OK;68,0333633;43,14907;175,0;0,00;0,0
1072;'10/01/2022 11:43:05;'054315011022;FIX;OK;68,0333633;43,14907;174,8;0,00;0,0
1073;'10/01/2022 11:43:06;'054316011022;FIX;OK;68,0333633;43,14907;174,6;0,00;0,0
1074;'10/01/2022 11:43:07;'054317011022;FIX;OK;68,0333633;43,14907;174,4;0,00;0,0
1075;'10/01/2022 11:43:07;'054318011022;FIX;OK;68,0333633;43,14907;174,2;0,00;0,0
1076;'10/01/2022 11:43:08;'054319011022;FIX;OK;68,0333633;43,14907;174,0;0,00;0,0
1077;'10/01/2022 11:43:09;'054320011022;FIX;OK;68,0333633;43,14907;173,8;0,00;0,0
1078;'10/01/2022 11:43:10;'054321011022;FIX;OK;68,0333633;43,14907;173,6;0,00;0,0
1079;'10/01/2022 11:43:11;'054322011022;FIX;OK;68,0333633;43,14907;173,4;0,00;0,0
1080;'10/01/2022 11:43:12;'054323011022;FIX;OK;68,0333633;43,14907;173,2;0,00;0,0
1081;'10/01/2022 11:43:13;'054324011022;FIX;OK;68,0333633;43,14907;173,0;0,00;0,0
1082;'10/01/2022 11:43:14;'054325011022;FIX;OK;68,0333633;43,14907;172,8;0,00;0,0
1083;'10/01/2022 11:43:15;'054326011022;FIX;OK;68,0333633;43,14907;172,6;0,00;0,0
1084;'10/01/2022 11:43:16;'054327011022;FIX;OK;68,0333633;43,14907;172,3;0,00;0,0
1085;'10/01/2022 11:43:17;'054328011022;FIX;OK;68,0333633;43,14907;172,1;0,00;0,0
1086;'10/01/2022 11:43:18;'054329011022;FIX;OK;68,0333633;43,14907;171,9;0,00;0,0
1087;'10/01/2022 11:43:19;'054330011022;FIX;OK;68,0333633;43,14907;171,7;0,00;0,0
1088;'10/01/2022 11:43:20;'054331011022;FIX;OK;68,0333633;43,14907;171,5;0,00;0,0
1089;'10/01/2022 11:43:21;'054332011022;FIX;OK;68,0333633;43,14907;171,3;0,00;0,0
1090;'10/01/2022 11:43:22;'054333011022;FIX;OK;68,0333633;43,14907;171,1;0,00;0,0
1091;'10/01/2022 11:43:23;'054334011022;FIX;OK;68,0333633;43,14907;170,9;0,00;0,0
1092;'10/01/2022 11:43:23;'054335011022;FIX;OK;68,0333633;43,14907;170,7;0,00;0,0
1093;'10/01/2022 11:43:24;'054336011022;FIX;OK;68,0333633;43,14907;170,4;0,00;0,0
1094;'10/01/2022 11:43:25;'054337011022;FIX;OK;68,0333633;43,14907;170,2;0,00;0,0
1095;'10/01/2022 11:43:26;'054338011022;FIX;OK;68,0333633;43,14907;170,0;0,00;0,0
1096;'10/01/2022 11:43:27;'054339011022;FIX;OK;68,0333633;43,14907;169,8;0,00;0,0
1097;'10/01/2022 11:43:28;'054340011022;FIX;OK;68,0333633;43,14907;169,5;0,00;0,0
1098;'10/01/2022 11:43:29;'054341011022;FIX;OK;68,0333633;43,14907;169,3;0,00;0,0
1099;'10/01/2022 11:43:30;'054342011022;FIX;OK;68,0333633;43,14907;169,1;0,00;0,0
1100;'10/01/2022 11:43:31;'054343011022;FIX;OK;68,0333633;43,14907;168,8;0,00;0,0
1101;'10/01/2022 11:43:32;'054344011022;FIX;OK;68,0333633;43,14907;168,6;0,00;0,0
1102;'10/01/2022 11:43:33;'054345011022;FIX;OK;68,0333633;43,14907;168,4;0,00;0,0
1103;'10/01/2022 11:43:34;'054346011022;FIX;OK;68,0333633;43,14907;168,1;0,00;0,0
1104;'10/01/2022 11:43:35;'054347011022;FIX;OK;68,0333633;43,14907;167,9;0,00;0,0
1105;'10/01/2022 11:43:36;'054348011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
1106;'10/01/2022 11:43:37;'054349011022;FIX;OK;68,0333633;43,14907;167,4;0,00;0,0
1107;'10/01/2022 11:43:38;'054350011022;FIX;OK;68,0333633;43,14907;167,2;0,00;0,0
1108;'10/01/2022 11:43:38;'054351011022;FIX;OK;68,0333633;43,14907;166,9;0,00;0,0
1109;'10/01/2022 11:43:39;'054352011022;FIX;OK;68,0333633;43,14907;166,7;0,00;0,0
1110;'10/01/2022 11:43:40;'054353011022;FIX;OK;68,0333633;43,14907;166,4;0,00;0,0
