

New start of logging. Datetime: 2022.10.01_112457 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
60;'10/01/2022 11:25:53;'052623011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
61;'10/01/2022 11:25:54;'052624011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
62;'10/01/2022 11:25:55;'052625011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
63;'10/01/2022 11:25:56;'052626011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
64;'10/01/2022 11:25:57;'052627011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
65;'10/01/2022 11:25:57;'052628011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
66;'10/01/2022 11:25:58;'052629011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
67;'10/01/2022 11:25:59;'052630011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
68;'10/01/2022 11:26:00;'052631011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
69;'10/01/2022 11:26:01;'052632011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
70;'10/01/2022 11:26:02;'052633011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
71;'10/01/2022 11:26:03;'052634011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
72;'10/01/2022 11:26:04;'052635011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
73;'10/01/2022 11:26:05;'052636011022;FIX;OK;68,0333633;43,14907;167,6;0,00;0,0
74;'10/01/2022 11:26:06;'052637011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
75;'10/01/2022 11:26:07;'052638011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
76;'10/01/2022 11:26:08;'052639011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
77;'10/01/2022 11:26:09;'052640011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
78;'10/01/2022 11:26:10;'052641011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
79;'10/01/2022 11:26:11;'052642011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
80;'10/01/2022 11:26:12;'052643011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
81;'10/01/2022 11:26:12;'052644011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
82;'10/01/2022 11:26:13;'052645011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
83;'10/01/2022 11:26:14;'052646011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
84;'10/01/2022 11:26:15;'052647011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
85;'10/01/2022 11:26:16;'052648011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
86;'10/01/2022 11:26:17;'052649011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
87;'10/01/2022 11:26:18;'052650011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
88;'10/01/2022 11:26:19;'052651011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
89;'10/01/2022 11:26:20;'052652011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
90;'10/01/2022 11:26:21;'052653011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
91;'10/01/2022 11:26:22;'052654011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
92;'10/01/2022 11:26:23;'052655011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
93;'10/01/2022 11:26:24;'052656011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
94;'10/01/2022 11:26:25;'052657011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
95;'10/01/2022 11:26:26;'052658011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
96;'10/01/2022 11:26:27;'052659011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
97;'10/01/2022 11:26:28;'052700011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
98;'10/01/2022 11:26:28;'052701011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
99;'10/01/2022 11:26:29;'052702011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
100;'10/01/2022 11:26:30;'052703011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
101;'10/01/2022 11:26:31;'052704011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
102;'10/01/2022 11:26:32;'052705011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
103;'10/01/2022 11:26:33;'052706011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
104;'10/01/2022 11:26:34;'052707011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
105;'10/01/2022 11:26:35;'052708011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
106;'10/01/2022 11:26:36;'052709011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
107;'10/01/2022 11:26:37;'052710011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
108;'10/01/2022 11:26:38;'052711011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
109;'10/01/2022 11:26:39;'052712011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
110;'10/01/2022 11:26:40;'052713011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
111;'10/01/2022 11:26:41;'052714011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
112;'10/01/2022 11:26:42;'052715011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
113;'10/01/2022 11:26:43;'052716011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
114;'10/01/2022 11:26:43;'052717011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
115;'10/01/2022 11:26:44;'052718011022;FIX;OK;68,0333633;43,14907;167,7;0,00;0,0
116;'10/01/2022 11:26:45;'052719011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
117;'10/01/2022 11:26:46;'052720011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
118;'10/01/2022 11:26:47;'052721011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
119;'10/01/2022 11:26:48;'052722011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
120;'10/01/2022 11:26:49;'052723011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
121;'10/01/2022 11:26:50;'052724011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
122;'10/01/2022 11:26:51;'052725011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
123;'10/01/2022 11:26:52;'052726011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
124;'10/01/2022 11:26:53;'052727011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
125;'10/01/2022 11:26:54;'052728011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
126;'10/01/2022 11:26:55;'052729011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
127;'10/01/2022 11:26:56;'052730011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
128;'10/01/2022 11:26:57;'052731011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
129;'10/01/2022 11:26:58;'052732011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
130;'10/01/2022 11:26:58;'052733011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
131;'10/01/2022 11:26:59;'052734011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
132;'10/01/2022 11:27:00;'052735011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
133;'10/01/2022 11:27:01;'052736011022;FIX;OK;68,0333633;43,14907;167,8;0,00;0,0
134;'10/01/2022 11:27:02;'052737011022;FIX;OK;68,0333633;43,14907;167,9;0,00;0,0
135;'10/01/2022 11:27:03;'052738011022;FIX;OK;68,0333633;43,14907;167,9;0,00;0,0
136;'10/01/2022 11:27:04;'052739011022;FIX;OK;68,0333633;43,14907;167,9;0,00;0,0
137;'10/01/2022 11:27:05;'052740011022;FIX;OK;68,0333633;43,14907;168,0;0,00;0,0
138;'10/01/2022 11:27:06;'052741011022;FIX;OK;68,0333633;43,14907;168,0;0,00;0,0
139;'10/01/2022 11:27:07;'052742011022;FIX;OK;68,0333633;43,14907;168,1;0,00;0,0
140;'10/01/2022 11:27:08;'052743011022;FIX;OK;68,0333633;43,14907;168,1;0,00;0,0
141;'10/01/2022 11:27:09;'052744011022;FIX;OK;68,0333633;43,14907;168,2;0,00;0,0
142;'10/01/2022 11:27:10;'052745011022;FIX;OK;68,0333633;43,14907;168,2;0,00;0,0
143;'10/01/2022 11:27:11;'052746011022;FIX;OK;68,0333633;43,14907;168,3;0,00;0,0
144;'10/01/2022 11:27:12;'052747011022;FIX;OK;68,0333633;43,14907;168,4;0,00;0,0
145;'10/01/2022 11:27:13;'052748011022;FIX;OK;68,0333633;43,14907;168,4;0,00;0,0
146;'10/01/2022 11:27:13;'052749011022;FIX;OK;68,0333633;43,14907;168,5;0,00;0,0
147;'10/01/2022 11:27:14;'052750011022;FIX;OK;68,0333633;43,14907;168,6;0,00;0,0
148;'10/01/2022 11:27:15;'052751011022;FIX;OK;68,0333633;43,14907;168,7;0,00;0,0
149;'10/01/2022 11:27:16;'052752011022;FIX;OK;68,0333633;43,14907;168,7;0,00;0,0
150;'10/01/2022 11:27:17;'052753011022;FIX;OK;68,0333633;43,14907;168,8;0,00;0,0
151;'10/01/2022 11:27:18;'052754011022;FIX;OK;68,0333633;43,14907;168,9;0,00;0,0
152;'10/01/2022 11:27:19;'052755011022;FIX;OK;68,0333633;43,14907;169,0;0,00;0,0
153;'10/01/2022 11:27:20;'052756011022;FIX;OK;68,0333633;43,14907;169,1;0,00;0,0
154;'10/01/2022 11:27:21;'052757011022;FIX;OK;68,0333633;43,14907;169,2;0,00;0,0
155;'10/01/2022 11:27:22;'052758011022;FIX;OK;68,0333633;43,14907;169,2;0,00;0,0
156;'10/01/2022 11:27:23;'052759011022;FIX;OK;68,0333633;43,14907;169,3;0,00;0,0
157;'10/01/2022 11:27:24;'052800011022;FIX;OK;68,0333633;43,14907;169,4;0,00;0,0
158;'10/01/2022 11:27:25;'052801011022;FIX;OK;68,0333633;43,14907;169,5;0,00;0,0
159;'10/01/2022 11:27:26;'052802011022;FIX;OK;68,0333633;43,14907;169,6;0,00;0,0
160;'10/01/2022 11:27:27;'052803011022;FIX;OK;68,0333633;43,14907;169,6;0,00;0,0
161;'10/01/2022 11:27:28;'052804011022;FIX;OK;68,0333633;43,14907;169,7;0,00;0,0
162;'10/01/2022 11:27:28;'052805011022;FIX;OK;68,0333633;43,14907;169,8;0,00;0,0
163;'10/01/2022 11:27:29;'052806011022;FIX;OK;68,0333633;43,14907;169,9;0,00;0,0
164;'10/01/2022 11:27:30;'052807011022;FIX;OK;68,0333633;43,14907;169,9;0,00;0,0
165;'10/01/2022 11:27:31;'052808011022;FIX;OK;68,0333633;43,14907;170,0;0,00;0,0
166;'10/01/2022 11:27:32;'052809011022;FIX;OK;68,0333633;43,14907;170,1;0,00;0,0
167;'10/01/2022 11:27:33;'052810011022;FIX;OK;68,0333633;43,14907;170,2;0,00;0,0
168;'10/01/2022 11:27:34;'052811011022;FIX;OK;68,0333633;43,14907;170,2;0,00;0,0
169;'10/01/2022 11:27:35;'052812011022;FIX;OK;68,0333633;43,14907;170,3;0,00;0,0
170;'10/01/2022 11:27:36;'052813011022;FIX;OK;68,0333633;43,14907;170,4;0,00;0,0
171;'10/01/2022 11:27:37;'052814011022;FIX;OK;68,0333633;43,14907;170,5;0,00;0,0
