

New start of logging. Datetime: 2022.10.01_112457 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'10/01/2022 11:38:44;19,1;15;1001,5;19,6;16,1;10,9;16,2;1010,2;70,0;-70,0;0,0;19,2;324,0;-100,0;4,19;0,01
'10/01/2022 11:38:45;19,1;15;1001,4;19,6;16,1;11,0;16,0;1009,4;70,0;0,0;0,0;19,4;329,2;-100,0;4,19;0,01
'10/01/2022 11:38:46;19,1;15;1001,6;19,6;16,1;11,0;16,1;1008,9;0,0;0,0;0,0;19,5;330,1;-100,0;4,19;0,01
'10/01/2022 11:38:47;19,1;15;1001,4;19,6;16,1;10,9;16,1;1009,1;0,0;0,0;-70,0;19,6;333,5;-100,0;4,19;0,01
'10/01/2022 11:38:47;19,1;15;1001,5;19,7;16,2;11,0;16,1;1010,5;-140,0;0,0;-70,0;19,6;333,5;-100,0;4,19;0,01
'10/01/2022 11:38:48;19,1;15;1001,5;19,7;16,2;11,0;16,2;1010,8;210,0;140,0;-70,0;20,1;346,7;-100,0;4,19;0,01
'10/01/2022 11:38:49;19,1;15;1001,5;19,7;16,2;11,1;16,2;1010,6;0,0;0,0;-70,0;20,7;354,9;-100,0;4,19;0,01
'10/01/2022 11:38:50;19,1;15;1001,5;19,7;16,2;11,0;16,2;1010,5;-70,0;-70,0;0,0;20,7;352,7;-100,0;4,19;0,01
'10/01/2022 11:38:51;19,2;15;1001,6;19,7;16,2;11,0;16,2;1010,6;0,0;-70,0;0,0;20,3;342,4;-100,0;4,19;0,01
'10/01/2022 11:38:52;19,2;15;1001,5;19,7;16,2;11,0;16,2;1010,6;0,0;0,0;0,0;20,0;335,5;-100,0;4,19;0,01
'10/01/2022 11:38:53;19,2;15;1001,5;19,7;16,2;11,0;16,2;1010,6;-70,0;-70,0;0,0;19,5;326,9;-100,0;4,19;0,01
'10/01/2022 11:38:54;19,2;15;1001,5;19,7;16,2;11,1;16,1;1010,7;0,0;0,0;-70,0;19,3;323,2;-100,0;4,19;0,01
'10/01/2022 11:38:55;19,2;15;1001,5;19,7;16,2;11,0;16,2;1010,8;-70,0;-70,0;0,0;19,2;316,6;-100,0;4,19;0,01
'10/01/2022 11:38:56;19,2;15;1001,5;19,7;16,2;11,0;16,2;1010,8;-70,0;-70,0;0,0;18,8;308,4;-100,0;4,19;0,01
'10/01/2022 11:38:57;19,2;15;1001,5;19,7;16,2;11,1;16,2;1010,6;0,0;0,0;0,0;18,3;302,6;-100,0;4,19;0,01
'10/01/2022 11:38:58;19,2;15;1001,4;19,7;16,2;11,2;16,2;1010,6;-70,0;-70,0;0,0;17,8;292,6;-100,0;4,19;0,01
'10/01/2022 11:38:59;19,2;15;1001,5;19,7;16,2;11,0;16,1;1010,5;0,0;0,0;0,0;17,3;280,1;-100,0;4,19;0,01
'10/01/2022 11:39:00;19,2;15;1001,5;19,7;16,3;11,3;16,2;1010,4;70,0;140,0;0,0;17,1;274,7;-100,0;4,19;0,01
'10/01/2022 11:39:01;19,2;15;1001,5;19,8;16,3;11,1;16,2;1010,6;-70,0;0,0;0,0;16,5;265,1;-100,0;4,19;0,01
'10/01/2022 11:39:02;19,2;15;1001,6;19,7;16,2;11,0;16,1;1010,3;-70,0;0,0;0,0;15,6;254,3;-100,0;4,19;0,01
'10/01/2022 11:39:03;19,2;15;1001,6;19,8;16,2;11,0;16,1;1010,0;0,0;-70,0;0,0;14,8;236,7;-100,0;4,19;0,01
'10/01/2022 11:39:03;19,2;15;1001,6;19,8;16,3;11,0;16,2;1010,6;0,0;0,0;0,0;13,7;223,7;-100,0;4,19;0,01
'10/01/2022 11:39:04;19,3;15;1001,5;19,8;16,3;11,1;16,2;1011,0;0,0;0,0;-70,0;13,0;216,3;-100,0;4,19;0,01
'10/01/2022 11:39:05;19,3;15;1001,5;19,8;16,3;11,1;16,3;1010,7;0,0;0,0;-70,0;12,3;203,8;-100,0;4,19;0,01
'10/01/2022 11:39:06;19,3;15;1001,5;19,8;16,3;11,0;16,3;1010,8;-140,0;0,0;-70,0;11,6;185,6;-100,0;4,19;0,01
'10/01/2022 11:39:07;19,3;15;1001,5;19,8;16,3;10,8;16,4;1011,0;0,0;140,0;-70,0;10,5;168,8;-100,0;4,18;0,01
'10/01/2022 11:39:08;19,3;15;1001,5;19,8;16,4;10,9;16,3;1011,2;-70,0;-70,0;0,0;9,5;153,3;-100,0;4,19;0,01
'10/01/2022 11:39:09;19,3;14;1001,5;19,8;16,4;10,9;16,3;1011,1;70,0;0,0;-70,0;9,0;144,0;-100,0;4,19;0,01
'10/01/2022 11:39:10;19,3;14;1001,6;19,9;16,3;11,0;16,7;1011,2;1260,0;910,0;-140,0;8,7;139,4;-100,0;4,19;0,01
'10/01/2022 11:39:11;19,3;14;1001,5;19,8;16,4;10,4;17,1;1010,9;840,0;350,0;-140,0;8,2;128,1;-100,0;4,19;0,01
'10/01/2022 11:39:12;19,3;14;1001,6;19,8;16,4;10,5;16,8;1010,6;630,0;350,0;-70,0;7,4;114,9;-100,0;4,19;0,01
'10/01/2022 11:39:13;19,3;14;1001,4;19,8;16,4;10,7;16,5;1010,1;-70,0;-140,0;0,0;6,9;105,8;-100,0;4,19;0,01
'10/01/2022 11:39:14;19,4;14;1001,4;19,9;16,3;10,8;16,2;1010,6;0,0;-70,0;0,0;6,5;100,4;-100,0;4,19;0,01
'10/01/2022 11:39:15;19,4;14;1001,5;19,9;16,4;11,1;16,1;1010,3;-70,0;70,0;0,0;6,5;98,5;-100,0;4,19;0,01
'10/01/2022 11:39:16;19,4;14;1001,5;19,9;16,4;11,2;16,1;1010,5;70,0;0,0;-70,0;6,4;94,9;-100,0;4,19;0,01
'10/01/2022 11:39:17;19,4;14;1001,5;19,9;16,4;10,9;16,2;1010,6;-70,0;-70,0;-70,0;5,7;80,9;-100,0;4,19;0,01
'10/01/2022 11:39:18;19,4;14;1001,5;19,9;16,4;11,0;16,2;1010,8;-70,0;-140,0;0,0;5,1;73,4;-100,0;4,19;0,01
'10/01/2022 11:39:19;19,4;14;1001,4;19,9;16,4;10,8;16,2;1011,0;0,0;-70,0;0,0;4,9;71,6;-100,0;4,19;0,01
'10/01/2022 11:39:19;19,4;15;1001,6;19,9;16,5;10,8;16,3;1011,1;1890,0;1470,0;-70,0;5,0;69,5;-100,0;4,19;0,01
'10/01/2022 11:39:20;19,4;15;1001,4;19,9;16,5;10,8;16,7;1011,1;-140,0;-70,0;0,0;5,1;69,7;-100,0;4,19;0,01
'10/01/2022 11:39:21;19,4;15;1001,5;19,9;16,4;10,9;16,3;1011,1;70,0;0,0;0,0;5,0;70,3;-100,0;4,19;0,01
'10/01/2022 11:39:22;19,4;15;1001,5;19,9;16,4;11,0;16,2;1010,1;-70,0;0,0;0,0;5,0;71,6;-100,0;4,19;0,01
'10/01/2022 11:39:23;19,4;15;1001,5;19,9;16,4;10,9;16,1;1008,6;0,0;-70,0;0,0;5,1;72,3;-100,0;4,19;0,01
'10/01/2022 11:39:24;19,4;15;1001,5;19,9;16,3;11,0;16,1;1009,4;0,0;0,0;0,0;5,0;70,2;-100,0;4,19;0,01
'10/01/2022 11:39:25;19,4;15;1001,6;19,8;16,3;10,9;16,0;1008,5;-70,0;0,0;-70,0;5,0;66,4;-100,0;4,19;0,01
'10/01/2022 11:39:26;19,3;15;1001,4;19,8;16,3;10,9;16,0;1007,5;0,0;0,0;-70,0;5,0;65,8;-100,0;4,19;0,01
'10/01/2022 11:39:27;19,3;15;1001,5;19,8;16,3;11,3;15,9;1007,2;0,0;70,0;-70,0;5,2;69,0;-100,0;4,19;0,01
'10/01/2022 11:39:28;19,3;15;1001,5;19,8;16,3;11,0;16,3;1007,5;280,0;-350,0;0,0;5,2;66,7;-100,0;4,19;0,01
'10/01/2022 11:39:29;19,4;15;1001,5;19,8;16,4;11,7;17,3;1008,5;-280,0;-210,0;0,0;5,1;64,5;-100,0;4,19;0,01
'10/01/2022 11:39:30;19,4;15;1001,4;19,9;16,4;12,0;17,9;1009,2;840,0;560,0;0,0;5,4;64,9;-100,0;4,19;0,01
'10/01/2022 11:39:31;19,3;15;1001,5;19,8;16,3;12,0;18,2;1008,6;350,0;280,0;-70,0;5,5;66,0;-100,0;4,19;0,01
'10/01/2022 11:39:32;19,3;15;1001,6;19,8;16,3;12,1;18,1;1008,0;-140,0;-70,0;0,0;5,5;68,4;-100,0;4,19;0,01
'10/01/2022 11:39:33;19,4;15;1001,5;19,9;16,4;12,1;18,1;1009,1;-280,0;-210,0;-70,0;5,6;69,0;-100,0;4,19;0,01
'10/01/2022 11:39:34;19,4;15;1001,5;19,9;16,4;12,3;18,1;1010,0;-70,0;0,0;0,0;5,6;69,9;-100,0;4,19;0,01
'10/01/2022 11:39:34;19,4;15;1001,5;19,8;16,3;12,2;18,1;1009,7;-140,0;-70,0;-70,0;5,7;71,9;-100,0;4,19;0,01
'10/01/2022 11:39:35;19,4;15;1001,5;19,9;16,4;12,2;18,1;1009,5;-70,0;0,0;0,0;5,8;73,5;-100,0;4,19;0,01
'10/01/2022 11:39:36;19,4;15;1001,5;19,9;16,4;12,3;17,9;1010,2;0,0;0,0;0,0;5,8;73,1;-100,0;4,19;0,01
'10/01/2022 11:39:37;19,4;15;1001,5;19,8;16,3;12,3;18,1;1009,3;0,0;-70,0;0,0;5,8;71,9;-100,0;4,19;0,01
'10/01/2022 11:39:38;19,4;15;1001,4;19,8;16,3;12,2;18,1;1008,3;0,0;-70,0;-70,0;6,1;75,6;-100,0;4,19;0,01
'10/01/2022 11:39:39;19,3;15;1001,4;19,8;16,3;12,2;18,1;1006,7;0,0;0,0;-70,0;6,3;81,8;-100,0;4,19;0,01
'10/01/2022 11:39:40;19,3;15;1001,5;19,7;16,2;12,1;18,1;1006,3;-70,0;0,0;-70,0;6,6;91,8;-100,0;4,19;0,01
'10/01/2022 11:39:41;19,3;15;1001,5;19,7;16,2;12,1;18,0;1005,6;0,0;0,0;-70,0;6,7;95,7;-100,0;4,19;0,01
'10/01/2022 11:39:42;19,3;15;1001,5;19,8;16,3;12,1;18,1;1007,3;0,0;-70,0;0,0;6,7;96,0;-100,0;4,19;0,01
'10/01/2022 11:39:43;19,3;15;1001,6;19,8;16,3;12,1;18,2;1007,9;-490,0;-140,0;0,0;6,8;99,7;-100,0;4,19;0,01
'10/01/2022 11:39:44;19,3;15;1001,5;19,8;16,3;12,3;18,1;1008,9;-140,0;-70,0;0,0;7,3;107,7;-100,0;4,19;0,01
'10/01/2022 11:39:45;19,3;15;1001,5;19,8;16,3;12,3;18,1;1008,9;-140,0;-70,0;0,0;7,4;115,7;-100,0;4,19;0,01
'10/01/2022 11:39:46;19,3;15;1001,5;19,8;16,3;12,3;18,2;1009,6;-70,0;-70,0;-70,0;7,4;113,5;-100,0;4,19;0,01
'10/01/2022 11:39:47;19,3;15;1001,5;19,8;16,3;12,0;18,4;1009,5;-840,0;-560,0;70,0;7,4;113,0;-100,0;4,19;0,01
'10/01/2022 11:39:48;19,4;15;1001,4;19,9;16,3;12,6;18,1;1009,9;140,0;70,0;0,0;7,4;114,3;-100,0;4,19;0,01
'10/01/2022 11:39:49;19,3;15;1001,5;19,8;16,3;12,4;18,2;1009,7;0,0;-140,0;-70,0;7,3;113,4;-100,0;4,19;0,01
'10/01/2022 11:39:50;19,3;15;1001,5;19,8;16,3;12,3;18,2;1008,3;630,0;490,0;-70,0;7,5;119,6;-100,0;4,19;0,01
'10/01/2022 11:39:50;19,3;15;1001,5;19,7;16,2;12,0;18,3;1006,9;0,0;70,0;0,0;7,8;122,4;-100,0;4,19;0,01
'10/01/2022 11:39:51;19,3;15;1001,5;19,7;16,2;12,2;18,1;1005,2;0,0;140,0;-70,0;7,6;120,1;-100,0;4,19;0,01
'10/01/2022 11:39:52;19,3;15;1001,6;19,8;16,3;12,1;18,2;1006,9;-70,0;0,0;-70,0;7,6;123,1;-100,0;4,19;0,01
'10/01/2022 11:39:53;19,3;15;1001,5;19,7;16,2;12,0;18,2;1007,0;0,0;-70,0;0,0;7,8;126,2;-100,0;4,19;0,01
'10/01/2022 11:39:54;19,3;15;1001,6;19,8;16,2;12,0;18,1;1007,4;420,0;350,0;0,0;7,7;130,0;-100,0;4,19;0,01
'10/01/2022 11:39:55;19,3;15;1001,6;19,8;16,2;12,1;17,9;1007,8;210,0;140,0;-70,0;7,6;128,9;-100,0;4,19;0,01
'10/01/2022 11:39:56;19,3;15;1001,5;19,8;16,2;11,8;18,1;1008,4;210,0;70,0;-70,0;7,6;128,4;-100,0;4,19;0,01
'10/01/2022 11:39:57;19,2;15;1001,4;19,7;16,2;11,8;18,0;1007,5;700,0;490,0;-70,0;7,6;128,2;-100,0;4,19;0,01
'10/01/2022 11:39:58;19,3;15;1001,4;19,7;16,2;11,8;18,2;1006,7;560,0;350,0;-70,0;7,3;125,2;-100,0;4,19;0,01
'10/01/2022 11:39:59;19,3;15;1001,5;19,8;16,2;11,8;18,2;1007,6;-70,0;-140,0;-70,0;7,2;123,3;-100,0;4,19;0,01
'10/01/2022 11:40:00;19,3;14;1001,4;19,8;16,3;12,1;13,1;1019,4;-1540,0;5250,0;13370,0;7,1;122,4;-100,0;4,19;0,01
'10/01/2022 11:40:01;19,3;14;1001,5;19,8;16,2;-113,8;57,0;991,4;3570,0;-3570,0;7000,0;7,1;120,6;-100,0;4,19;0,01
'10/01/2022 11:40:02;19,3;14;1001,5;19,8;16,2;-273,0;171,2;927,3;3500,0;-11550,0;-6300,0;7,0;119,7;-100,0;4,19;0,01
'10/01/2022 11:40:03;19,3;15;1001,5;19,8;16,3;-355,1;208,4;895,9;-6650,0;-3500,0;-13860,0;7,0;120,0;-100,0;4,19;0,01
'10/01/2022 11:40:04;19,3;15;1001,5;19,8;16,3;-412,9;185,4;893,8;1470,0;25200,0;17500,0;7,2;127,1;-100,0;4,19;0,01
'10/01/2022 11:40:05;19,3;15;1001,4;19,7;16,2;-480,5;226,6;853,8;9590,0;-13300,0;-5740,0;7,2;129,7;-100,0;4,18;0,01
'10/01/2022 11:40:24;19,2;15;1001,5;19,6;16,1;-518,7;301,8;803,1;3780,0;3430,0;11550,0;7,0;127,3;-100,0;4,19;0,01
'10/01/2022 11:40:25;19,2;15;1001,4;19,5;16,0;-509,4;369,8;778,4;-9030,0;-910,0;-12880,0;6,8;119,8;-100,0;4,19;0,01
'10/01/2022 11:40:26;19,2;15;1001,5;19,6;16,1;-518,7;399,2;764,1;980,0;3150,0;10780,0;6,4;113,1;-100,0;4,19;0,01
'10/01/2022 11:40:27;19,2;15;1001,5;19,6;16,1;-501,0;408,8;773,2;-2030,0;-2310,0;10710,0;6,1;101,3;-100,0;4,19;0,01
'10/01/2022 11:40:28;19,2;15;1001,4;19,6;16,0;-397,5;357,6;847,0;-980,0;3570,0;-1960,0;5,9;97,0;-100,0;4,19;0,01
'10/01/2022 11:40:29;19,1;15;1001,6;19,5;16,1;-313,1;266,2;906,1;420,0;8050,0;14210,0;5,9;95,4;-100,0;4,19;0,01
'10/01/2022 11:40:30;19,1;14;1001,3;19,5;16,0;-222,2;196,9;945,4;-4130,0;3920,0;-18970,0;5,6;90,2;-100,0;4,19;0,01
'10/01/2022 11:40:30;19,1;14;1001,5;19,5;16,0;-135,4;160,6;971,7;490,0;2170,0;5810,0;5,1;80,6;-100,0;4,19;0,01
'10/01/2022 11:40:31;19,1;14;1001,5;19,5;16,0;-107,8;137,9;983,0;2450,0;4340,0;560,0;5,0;73,8;-100,0;4,19;0,01
'10/01/2022 11:40:32;19,1;14;1001,5;19,5;16,0;-94,2;88,9;996,3;770,0;-910,0;-2030,0;4,9;73,4;-100,0;4,19;0,01
'10/01/2022 11:40:33;19,1;14;1001,4;19,5;15,9;-89,4;69,5;996,3;1960,0;6440,0;4270,0;4,9;72,4;-100,0;4,19;0,01
'10/01/2022 11:40:34;19,0;14;1001,4;19,4;15,9;-134,7;72,3;990,8;-2100,0;1190,0;-34860,0;4,8;70,4;-100,0;4,19;0,01
'10/01/2022 11:40:35;19,1;14;1001,5;19,5;15,9;-143,4;70,9;988,5;9100,0;5460,0;-17920,0;4,8;69,6;-100,0;4,19;0,01
'10/01/2022 11:40:36;19,1;14;1001,4;19,6;16,0;-261,4;72,9;972,4;-19600,0;-20650,0;55020,0;4,5;61,5;-100,0;4,19;0,01
'10/01/2022 11:40:37;19,1;14;1001,5;19,6;16,1;-339,2;92,1;939,5;-9450,0;-17990,0;-1890,0;4,2;57,4;-100,0;4,18;0,01
'10/01/2022 11:40:38;19,2;15;1001,4;19,7;16,1;-255,7;23,5;970,4;9870,0;12250,0;-10430,0;4,2;57,4;-100,0;4,19;0,01
'10/01/2022 11:40:39;19,2;15;1001,5;19,7;16,1;-129,1;-16,5;991,7;-1890,0;420,0;-910,0;4,1;52,7;-100,0;4,19;0,01
'10/01/2022 11:40:40;19,2;15;1001,5;19,7;16,2;-65,2;-29,2;1006,6;-630,0;1540,0;840,0;3,9;49,1;-100,0;4,19;0,01
'10/01/2022 11:40:41;19,2;15;1001,6;19,7;16,2;-36,5;-26,0;1008,6;-12460,0;910,0;20230,0;3,8;44,3;-100,0;4,19;0,01
'10/01/2022 11:40:42;19,2;15;1001,5;19,8;16,2;-64,8;-50,5;1000,4;3220,0;-13370,0;-210,0;3,7;40,3;-100,0;4,19;0,01
'10/01/2022 11:40:43;19,3;15;1001,5;19,8;16,2;-79,4;-56,6;1003,6;-350,0;-2100,0;-13020,0;3,6;39,3;-100,0;4,19;0,01
'10/01/2022 11:40:44;19,3;15;1001,5;19,8;16,2;-88,6;-57,6;1010,9;-2380,0;-7000,0;-15190,0;3,6;40,8;-100,0;4,19;0,01
'10/01/2022 11:40:45;19,3;15;1001,5;19,8;16,2;-58,5;-49,8;1008,5;-7700,0;4340,0;-8120,0;3,7;44,3;-100,0;4,19;0,01
'10/01/2022 11:40:45;19,3;15;1001,5;19,8;16,3;-55,2;-67,8;1003,3;910,0;0,0;-1470,0;3,8;46,2;-100,0;4,19;0,01
'10/01/2022 11:40:46;19,4;15;1001,5;19,9;16,3;-53,6;-73,2;1004,6;770,0;-770,0;2450,0;4,0;51,3;-100,0;4,19;0,01
'10/01/2022 11:40:47;19,4;15;1001,5;19,9;16,3;-50,3;-57,8;1015,3;1610,0;-7210,0;16940,0;4,7;59,3;-100,0;4,19;0,01
'10/01/2022 11:40:48;19,4;15;1001,6;19,9;16,3;-16,3;-22,4;1017,3;-14070,0;5880,0;-11970,0;6,4;84,2;-100,0;4,19;0,01
'10/01/2022 11:40:49;19,4;15;1001,6;19,9;16,3;8,0;-29,6;1000,6;12880,0;6860,0;-4340,0;7,5;111,9;-100,0;4,19;0,01
'10/01/2022 11:40:50;19,4;15;1001,6;19,9;16,3;-10,2;15,9;1006,0;-3290,0;-3080,0;1400,0;8,2;122,3;-100,0;4,19;0,01
'10/01/2022 11:40:51;19,4;15;1001,5;19,9;16,4;0,3;29,8;1008,1;6230,0;-4900,0;9450,0;9,1;131,6;-100,0;4,19;0,01
'10/01/2022 11:40:52;19,4;15;1001,5;19,9;16,4;0,3;29,8;1008,1;6230,0;-4900,0;9450,0;9,3;138,1;-100,0;4,19;0,01
'10/01/2022 11:40:53;19,5;15;1001,5;20,0;16,4;7,9;27,3;1009,7;1610,0;2520,0;1820,0;9,7;145,7;-100,0;4,19;0,01
'10/01/2022 11:40:54;19,5;15;1001,4;20,0;16,4;33,9;30,4;1009,7;-1050,0;8680,0;-2520,0;10,1;147,3;-100,0;4,19;0,01
'10/01/2022 11:40:55;19,5;15;1001,5;19,9;16,3;16,8;23,1;1007,8;-210,0;-2240,0;-280,0;10,3;148,8;-100,0;4,19;0,01
'10/01/2022 11:40:56;19,5;15;1001,5;19,9;16,4;26,0;16,7;1007,5;70,0;-560,0;490,0;10,3;150,7;-100,0;4,19;0,01
'10/01/2022 11:40:57;19,5;15;1001,4;20,0;16,4;33,9;11,1;1008,3;-70,0;5180,0;-1750,0;10,3;151,8;-100,0;4,19;0,01
'10/01/2022 11:40:58;19,5;15;1001,4;19,8;16,3;19,6;7,6;1008,0;-280,0;-2870,0;1400,0;10,7;152,7;-100,0;4,19;0,01
'10/01/2022 11:40:59;19,5;15;1001,5;19,8;16,3;19,6;2,9;1005,0;-770,0;-420,0;1890,0;10,7;153,8;-100,0;4,19;0,01
'10/01/2022 11:41:00;19,5;15;1001,5;19,7;16,2;12,4;-21,7;1001,8;70,0;-1050,0;-3360,0;10,7;152,7;-100,0;4,19;0,01
'10/01/2022 11:41:01;19,5;15;1001,5;19,9;16,4;25,8;-48,8;1001,5;-490,0;1400,0;350,0;10,7;153,5;-100,0;4,19;0,01
'10/01/2022 11:41:01;19,5;15;1001,5;19,9;16,4;35,4;-56,2;1004,1;840,0;1820,0;0,0;10,8;153,5;-100,0;4,19;0,01
'10/01/2022 11:41:02;19,5;15;1001,6;19,9;16,5;23,4;-55,6;1005,2;-980,0;-1820,0;140,0;10,8;154,8;-100,0;4,19;0,01
'10/01/2022 11:41:03;19,6;15;1001,4;20,0;16,4;10,7;-62,8;1006,8;700,0;3150,0;1050,0;10,9;159,2;-100,0;4,19;0,01
'10/01/2022 11:41:04;19,6;15;1001,6;20,1;16,5;3,2;-76,9;1006,3;140,0;-3010,0;-350,0;10,9;158,9;-100,0;4,19;0,01
'10/01/2022 11:41:05;19,6;15;1001,3;20,0;16,5;6,6;-93,5;1003,9;-280,0;420,0;1610,0;11,0;158,8;-100,0;4,19;0,01
'10/01/2022 11:41:06;19,6;15;1001,5;20,0;16,4;-1,5;-93,5;1003,1;-140,0;-1260,0;-70,0;11,0;158,8;-100,0;4,19;0,01
'10/01/2022 11:41:07;19,6;15;1001,5;20,1;16,5;-3,4;-88,3;1004,2;-210,0;700,0;-210,0;11,0;159,0;-100,0;4,19;0,01
'10/01/2022 11:41:08;19,6;15;1001,6;20,1;16,6;-3,6;-81,7;1006,1;-630,0;210,0;-280,0;11,0;158,9;-100,0;4,19;0,01
'10/01/2022 11:41:09;19,7;15;1001,5;20,1;16,6;-0,2;-83,6;1006,0;1540,0;-1190,0;1050,0;11,0;159,3;-100,0;4,19;0,01
'10/01/2022 11:41:10;19,7;15;1001,6;20,1;16,6;7,1;-85,9;1006,1;-280,0;630,0;980,0;11,1;158,7;-100,0;4,19;0,01
'10/01/2022 11:41:11;19,7;15;1001,5;20,1;16,6;9,2;-101,3;1003,2;1750,0;-980,0;-560,0;11,1;158,5;-100,0;4,19;0,01
'10/01/2022 11:41:12;19,7;15;1001,4;20,2;16,7;7,7;-105,4;1005,9;1960,0;3850,0;-140,0;11,2;158,7;-100,0;4,19;0,01
'10/01/2022 11:41:13;19,7;15;1001,6;20,2;16,7;-4,0;-107,7;1003,5;1680,0;700,0;-1120,0;11,1;157,6;-100,0;4,19;0,01
'10/01/2022 11:41:14;19,7;15;1001,6;20,2;16,7;6,6;-91,6;1006,4;-2590,0;560,0;350,0;11,0;154,1;-100,0;4,19;0,01
'10/01/2022 11:41:15;19,8;15;1001,5;20,2;16,7;14,6;-75,2;1007,4;1190,0;1330,0;2100,0;11,0;152,9;-100,0;4,19;0,01
'10/01/2022 11:41:16;19,8;15;1001,4;20,3;16,7;31,2;-44,8;1009,6;-4130,0;980,0;1400,0;10,7;145,6;-100,0;4,19;0,01
'10/01/2022 11:41:16;19,8;15;1001,5;20,3;16,7;40,7;-39,0;1009,7;-5740,0;-420,0;2660,0;10,2;137,9;-100,0;4,19;0,01
'10/01/2022 11:41:17;19,8;15;1001,5;20,3;16,8;18,1;-51,5;1010,5;-2590,0;490,0;4200,0;8,6;113,5;-100,0;4,19;0,01
'10/01/2022 11:41:18;19,8;15;1001,6;20,3;16,8;-9,9;-98,3;1004,1;1470,0;-7700,0;-2520,0;7,4;85,6;-100,0;4,19;0,01
'10/01/2022 11:41:19;19,9;15;1001,3;20,3;16,8;-12,7;-122,8;1001,2;490,0;-6860,0;-700,0;6,6;67,1;-100,0;4,19;0,01
'10/01/2022 11:41:20;19,9;15;1001,5;20,4;16,8;-59,8;-139,0;997,2;-8400,0;-14770,0;-3150,0;5,8;56,6;-100,0;4,19;0,01
'10/01/2022 11:41:21;19,9;14;1001,4;20,4;16,9;-53,4;-111,5;1000,2;-5110,0;630,0;-1260,0;5,5;48,9;-100,0;4,19;0,01
'10/01/2022 11:41:22;19,9;14;1001,4;20,4;16,9;-29,2;-66,9;1007,0;-560,0;2590,0;630,0;5,1;42,0;-100,0;4,19;0,01
'10/01/2022 11:41:23;20,0;14;1001,4;20,4;16,9;-24,2;-55,9;1007,8;-350,0;-3080,0;70,0;4,7;40,2;-100,0;4,19;0,01
'10/01/2022 11:41:24;20,0;14;1001,6;20,4;16,9;-17,8;-50,9;1009,2;-1330,0;-840,0;910,0;4,7;43,5;-100,0;4,19;0,01
'10/01/2022 11:41:25;20,0;14;1001,5;20,4;16,9;-16,3;-46,1;1008,6;70,0;280,0;-350,0;4,7;42,6;-100,0;4,19;0,01
'10/01/2022 11:41:26;20,0;14;1001,5;20,4;16,9;-12,3;-43,8;1009,1;770,0;1960,0;-140,0;4,7;41,6;-100,0;4,19;0,01
'10/01/2022 11:41:27;20,0;14;1001,4;20,4;16,9;-21,7;-47,0;1008,2;-420,0;-70,0;-1750,0;4,5;41,5;-100,0;4,19;0,01
'10/01/2022 11:41:28;20,1;14;1001,5;20,5;16,9;-29,1;-50,8;1008,4;1260,0;2450,0;-840,0;4,4;43,2;-100,0;4,19;0,01
'10/01/2022 11:41:29;20,1;14;1001,4;20,5;17,0;-31,2;-45,2;1009,9;-1960,0;3150,0;700,0;4,6;42,9;-100,0;4,19;0,01
'10/01/2022 11:41:30;20,1;14;1001,6;20,5;17,0;-43,8;-39,5;1008,8;1540,0;210,0;-1120,0;4,6;42,3;-100,0;4,19;0,01
'10/01/2022 11:41:31;20,1;14;1001,4;20,5;17,0;-33,6;-34,1;1010,1;700,0;2660,0;-560,0;4,5;42,8;-100,0;4,19;0,01
'10/01/2022 11:41:32;20,2;14;1001,5;20,6;17,1;-24,4;-23,7;1010,6;140,0;-2380,0;560,0;4,5;41,3;-100,0;4,19;0,01
'10/01/2022 11:41:32;20,2;14;1001,4;20,6;17,1;-12,3;-18,9;1011,6;-490,0;1050,0;-140,0;4,4;36,7;-100,0;4,19;0,01
'10/01/2022 11:41:33;20,2;14;1001,5;20,6;17,1;-0,7;-17,8;1011,3;-350,0;-140,0;-420,0;4,3;36,5;-100,0;4,19;0,01
'10/01/2022 11:41:34;20,2;14;1001,5;20,6;17,1;3,4;-16,8;1011,4;-490,0;-140,0;350,0;4,2;34,8;-100,0;4,18;0,01
'10/01/2022 11:41:35;20,2;14;1001,5;20,6;17,2;-0,5;-15,5;1011,2;-910,0;-1400,0;-420,0;4,1;34,3;-100,0;4,19;0,01
'10/01/2022 11:41:36;20,2;14;1001,4;20,6;17,1;-2,6;-20,7;1010,8;5460,0;1400,0;2590,0;4,2;35,0;-100,0;4,19;0,01
'10/01/2022 11:41:37;20,3;14;1001,5;20,6;17,1;-10,2;-22,1;1009,6;840,0;10150,0;-3080,0;4,1;34,7;-100,0;4,19;0,01
'10/01/2022 11:41:38;20,3;14;1001,5;20,6;17,2;-19,2;-22,2;1009,9;-140,0;1540,0;-1120,0;4,0;34,7;-100,0;4,19;0,01
'10/01/2022 11:41:39;20,3;14;1001,5;20,7;17,2;-9,4;-37,0;1010,2;-490,0;3640,0;-210,0;4,1;36,7;-100,0;4,19;0,01
